ilce,il,lat,lon
Aladağ,Adana,37.55854,35.40196
Ceyhan,Adana,37.07496,35.83629
Feke,Adana,37.82405,35.91826
Karaisalı,Adana,37.26655,35.05033
Karataş,Adana,36.57186,35.36784
Kozan,Adana,37.5,35.75
Pozantı,Adana,37.43671,34.88057
Saimbeyli,Adana,37.99615,36.09909
Sarıçam,Adana,37.14971,35.50949
Seyhan,Adana,36.9554,35.21637
Tufanbeyli,Adana,38.27343,36.22731
Yumurtalık,Adana,36.78245,35.79949
Yüreğir,Adana,36.88843,35.44285
Çukurova,Adana,37.05627,35.13119
İmamoğlu,Adana,37.275,35.66649
Adıyaman,Adıyaman,37.74454,38.26801
Besni,Adıyaman,37.70142,37.87086
Gerger,Adıyaman,38.02856,39.03281
Gölbaşı,Adıyaman,37.79,37.64989
Kâhta,Adıyaman,37.79477,38.63119
Samsat,Adıyaman,37.58565,38.48946
Sincik,Adıyaman,38.03373,38.61319
Tut,Adıyaman,37.80528,37.92296
Çelikhan,Adıyaman,38.03275,38.23705
Afyonkarahisar,Afyonkarahisar,38.79698,30.51951
Bayat,Afyonkarahisar,38.99183,30.93098
Başmakçı,Afyonkarahisar,37.90713,30.01617
Bolvadin,Afyonkarahisar,38.72062,31.05433
Dazkırı,Afyonkarahisar,37.92682,29.86699
Dinar,Afyonkarahisar,38.07475,30.17113
Emirdağ,Afyonkarahisar,39.0281,31.15461
Evciler,Afyonkarahisar,38.05207,29.89366
Hocalar,Afyonkarahisar,38.58783,29.97162
Kızılören,Afyonkarahisar,38.26794,30.1575
Sandıklı,Afyonkarahisar,38.47344,30.27781
Sinanpaşa,Afyonkarahisar,38.75385,30.24662
Sultandağı,Afyonkarahisar,38.5406,31.23508
Çay,Afyonkarahisar,38.60078,31.03547
Çobanlar,Afyonkarahisar,38.71085,30.78874
İhsaniye,Afyonkarahisar,39.03876,30.42211
İscehisar,Afyonkarahisar,38.939,30.75002
Şuhut,Afyonkarahisar,38.54081,30.55474
Aksaray,Aksaray,38.3706,34.02843
Ağaçören,Aksaray,38.88454,33.92421
Eskil,Aksaray,38.41158,33.41994
Gülağaç,Aksaray,38.40641,34.35071
Güzelyurt,Aksaray,38.28628,34.3619
Ortaköy,Aksaray,38.7477,34.04351
Sarıyahşi,Aksaray,38.99292,33.84676
Sultanhanı,Aksaray,38.24384,33.55207
Amasya,Amasya,40.61939,35.87016
Göynücek,Amasya,40.41008,35.53104
Gümüşhacıköy,Amasya,40.88365,35.22111
Hamamözü,Amasya,40.79539,35.03367
Merzifon,Amasya,40.88348,35.47116
Suluova,Amasya,40.84202,35.65922
Taşova,Amasya,40.76998,36.33092
Akyurt,Ankara,40.1414,33.09743
Altındağ,Ankara,40.0011,32.97022
Ayaş,Ankara,40.02484,32.34089
Bala,Ankara,39.56374,33.12962
Beypazari,Ankara,40.14695,31.91911
Elmadağ,Ankara,39.93117,33.23812
Etimesgut,Ankara,39.96335,32.63744
Evren,Ankara,39.03001,33.79767
Gölbaşı,Ankara,39.80748,32.79419
Güdül,Ankara,40.21954,32.24885
Haymana,Ankara,39.44015,32.48852
Kahramankazan,Ankara,40.16502,32.63904
Kalecik,Ankara,40.10634,33.41973
Keçiören,Ankara,40.02106,32.83102
Kızılcahamam,Ankara,40.48011,32.65546
Mamak,Ankara,39.94587,32.90811
Nallıhan,Ankara,40.19436,31.36316
Polatlı,Ankara,39.47995,32.15507
Pursaklar,Ankara,40.03961,32.90139
Sincan,Ankara,39.95943,32.49567
Yenimahalle,Ankara,39.99043,32.69555
Çamlıdere,Ankara,40.49994,32.47986
Çankaya,Ankara,39.86093,32.84176
Çubuk,Ankara,40.23985,33.04706
Şereflikoçhisar,Ankara,38.9545,33.54801
Akseki,Antalya,37.0582,31.80153
Aksu,Antalya,36.92794,30.82352
Alanya,Antalya,36.56173,32.02309
Demre,Antalya,36.2551,29.99788
Döşemealtı,Antalya,37.02366,30.5904
Elmalı,Antalya,36.74641,29.92324
Finike,Antalya,36.42355,30.06645
Gazipaşa,Antalya,36.28012,32.3057
Gündoğmuş,Antalya,36.82446,32.00679
